epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.872,0.90754,1.61862,1.81922,0.97156,0.88465,0.74349,0.84252,0.67661,0.89225,0.73884,0.83886,0.6619,0.83405,1.09346,1.25989,0.90308,0.000551291,0.000551291,0.000551291
2,49.7127,0.84078,1.21712,1.05574,0.92961,0.88982,0.78057,0.86003,0.70759,0.89435,0.78675,0.86658,0.6936,0.72078,1.0527,0.92364,0.88721,0.00109965,0.00109965,0.00109965
3,73.224,0.83988,1.26909,0.97235,0.93744,0.93014,0.81413,0.90149,0.74384,0.93014,0.81413,0.9041,0.70601,0.69237,1.02891,0.75163,0.88195,0.00164068,0.00164068,0.00164068
4,96.549,0.81481,1.21272,0.93345,0.92672,0.92899,0.7782,0.87927,0.73844,0.92899,0.7782,0.87892,0.72093,0.68848,1.02162,0.75165,0.88167,0.00163399,0.00163399,0.00163399
5,119.788,0.82705,1.2393,0.86248,0.92119,0.9273,0.81041,0.89372,0.76138,0.9273,0.81041,0.88387,0.71396,0.62158,1.00085,0.67989,0.86503,0.00162299,0.00162299,0.00162299
6,142.939,0.78357,1.11699,0.82372,0.92691,0.9087,0.82528,0.90239,0.75112,0.9087,0.82528,0.90322,0.75008,0.6866,0.94871,0.66093,0.88075,0.00161199,0.00161199,0.00161199
7,166.149,0.76103,1.08415,0.78825,0.91941,0.95019,0.78013,0.89375,0.75193,0.95019,0.78013,0.89293,0.72071,0.6546,0.91567,0.68803,0.87029,0.00160099,0.00160099,0.00160099
8,189.197,0.77263,1.07181,0.77894,0.92359,0.9329,0.82156,0.91238,0.76652,0.94772,0.80866,0.90628,0.72918,0.63701,0.90349,0.68304,0.86667,0.00158998,0.00158998,0.00158998
9,216.617,0.71977,1.004,0.716,0.90574,0.93835,0.82528,0.91748,0.7663,0.94257,0.829,0.92175,0.7492,0.64332,0.96396,0.58375,0.87229,0.00157898,0.00157898,0.00157898
10,241.126,0.73705,1.08059,0.6977,0.90006,0.92439,0.81803,0.9079,0.76866,0.92859,0.82175,0.91073,0.74663,0.64557,0.94237,0.61504,0.87528,0.00156798,0.00156798,0.00156798
11,265.25,0.71744,1.02189,0.67182,0.89836,0.92289,0.84015,0.92117,0.77132,0.92289,0.84015,0.92594,0.73887,0.6127,0.86849,0.55949,0.86983,0.00155698,0.00155698,0.00155698
12,288.538,0.70298,1.03749,0.66221,0.89669,0.93469,0.8512,0.91749,0.77477,0.93876,0.85472,0.91201,0.73336,0.63792,0.92058,0.56054,0.87178,0.00154598,0.00154598,0.00154598
13,315.923,0.6852,0.98239,0.63905,0.89166,0.93724,0.85502,0.9322,0.7763,0.93724,0.85502,0.92865,0.73723,0.63134,0.86613,0.53831,0.86676,0.00153497,0.00153497,0.00153497
14,344.274,0.70605,1.005,0.62802,0.88997,0.95204,0.83643,0.92476,0.78138,0.95204,0.83643,0.92448,0.74482,0.60614,0.89149,0.58427,0.86097,0.00152397,0.00152397,0.00152397
15,368.712,0.69795,1.02171,0.60519,0.88924,0.92596,0.83271,0.91512,0.76729,0.91188,0.84632,0.91681,0.72579,0.63485,0.86945,0.54415,0.86629,0.00151297,0.00151297,0.00151297
16,393.698,0.69825,1.00342,0.59715,0.89357,0.9233,0.84015,0.92964,0.79516,0.9233,0.84015,0.93152,0.78681,0.59425,0.84439,0.60287,0.85792,0.00150197,0.00150197,0.00150197
17,418.2,0.67481,0.96423,0.59552,0.88194,0.94236,0.8509,0.93099,0.79403,0.94236,0.8509,0.92652,0.75853,0.6079,0.82845,0.55878,0.86407,0.00149096,0.00149096,0.00149096
18,441.848,0.66881,0.95957,0.57528,0.88484,0.94276,0.85718,0.93701,0.7985,0.94362,0.8513,0.92996,0.75888,0.58935,0.83841,0.49748,0.85648,0.00147996,0.00147996,0.00147996
